stimulus,gender,x,y,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_7.keys,key_resp_7.rt,participant,session,date,expName,psychopyVersion,frameRate
POFA/fMRI_POFA/033c.tif,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,1.2671208150886741,,,,,,,,,,,10-rosa,1,2020_Feb_25_1933,emofaces5,3.0.1,64.05900076853017
POFA/fMRI_POFA/083c.tif,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,1.1571274970729064,,,,,,,,,,,10-rosa,1,2020_Feb_25_1933,emofaces5,3.0.1,64.05900076853017
POFA/fMRI_POFA/006c.tif,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,1.2047171694439385,,,,,,,,,,,10-rosa,1,2020_Feb_25_1933,emofaces5,3.0.1,64.05900076853017
POFA/fMRI_POFA/072c.tif,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.782717302517085,,,,,,,,,,,10-rosa,1,2020_Feb_25_1933,emofaces5,3.0.1,64.05900076853017
POFA/fMRI_POFA/021c.tif,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.9856082516844253,,,,,,,,,,,10-rosa,1,2020_Feb_25_1933,emofaces5,3.0.1,64.05900076853017
POFA/fMRI_POFA/006c.tif,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,1.203748140157586,,,,,,,,,,,10-rosa,1,2020_Feb_25_1933,emofaces5,3.0.1,64.05900076853017
POFA/fMRI_POFA/013c.tif,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.9700156573617278,,,,,,,,,,,10-rosa,1,2020_Feb_25_1933,emofaces5,3.0.1,64.05900076853017
POFA/fMRI_POFA/021c.tif,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.7377193764796175,,,,,,,,,,,10-rosa,1,2020_Feb_25_1933,emofaces5,3.0.1,64.05900076853017
POFA/fMRI_POFA/033c.tif,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,1.3779982219120939,,,,,,,,,,,10-rosa,1,2020_Feb_25_1933,emofaces5,3.0.1,64.05900076853017
POFA/fMRI_POFA/013c.tif,,,,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.8004263304155756,,,,,,,,,,,10-rosa,1,2020_Feb_25_1933,emofaces5,3.0.1,64.05900076853017
