x,y,stimulus,gender,blank_loop.thisRepN,blank_loop.thisTrialN,blank_loop.thisN,blank_loop.thisIndex,scrambled_loop.thisRepN,scrambled_loop.thisTrialN,scrambled_loop.thisN,scrambled_loop.thisIndex,happy_loop.thisRepN,happy_loop.thisTrialN,happy_loop.thisN,happy_loop.thisIndex,sad_loop.thisRepN,sad_loop.thisTrialN,sad_loop.thisN,sad_loop.thisIndex,angry_loop.thisRepN,angry_loop.thisTrialN,angry_loop.thisN,angry_loop.thisIndex,neutral_loop.thisRepN,neutral_loop.thisTrialN,neutral_loop.thisN,neutral_loop.thisIndex,happy_loop2.thisRepN,happy_loop2.thisTrialN,happy_loop2.thisN,happy_loop2.thisIndex,sad_loop2.thisRepN,sad_loop2.thisTrialN,sad_loop2.thisN,sad_loop2.thisIndex,angry_loop2.thisRepN,angry_loop2.thisTrialN,angry_loop2.thisN,angry_loop2.thisIndex,netral_2.thisRepN,netral_2.thisTrialN,netral_2.thisN,netral_2.thisIndex,scrambled_loop2.thisRepN,scrambled_loop2.thisTrialN,scrambled_loop2.thisN,scrambled_loop2.thisIndex,blank_loop2.thisRepN,blank_loop2.thisTrialN,blank_loop2.thisN,blank_loop2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,participant,session,date,expName,psychopyVersion,frameRate,
0.4,-0.2,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.6415947619825602,,,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
0.0,0.4,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.6252953456714749,,,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
0.4,0.4,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.42268731258809566,,,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
-0.2,-0.4,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.3913431251421571,,,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
-0.4,0.0,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.360060166567564,,,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
0.2,0.0,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.2509612459689379,,,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
-0.2,-0.2,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.29763440135866404,,,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
-0.4,0.2,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.25091382022947073,,,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
0.0,0.2,,,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.2975724656134844,,,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
0.2,-0.4,,,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.28202158957719803,,,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
,,POFA/fMRI_POFA/006c.tif,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.26677862275391817,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
,,POFA/fMRI_POFA/083c.tif,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.2984020533040166,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
,,POFA/fMRI_POFA/013c.tif,,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.28222863283008337,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
,,POFA/fMRI_POFA/033c.tif,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.219649619422853,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
,,POFA/fMRI_POFA/021c.tif,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.29779083374887705,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
,,POFA/fMRI_POFA/072c.tif,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.2979529285803437,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
,,POFA/fMRI_POFA/006c.tif,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.2822194304317236,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
,,POFA/fMRI_POFA/033c.tif,,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.2516609448939562,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
,,POFA/fMRI_POFA/013c.tif,,,,,,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.36093753296881914,,,,,,,,,15-deyanira,001,2020_May_09_1747,emofaces,3.0.1,64.04270272892046,
